mr,ref
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x]","The eatType_x, name_x, is a food_x area_x outside of the city center."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[no], near[near_x]","name_x, rated customer rating_x out of 5 by customers, serves priceRange_x food_x food. Its familyFriendly_x and is located near near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",customer rating_x is a 1 star rating place  does not area_x's far from the City centre
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is an food_x restaurant that familyFriendly_x area_x and is priceRange_xly priced with a customer rating of customer rating_x.
"name[name_x], food[food_x], customer rating[customer rating_x]",name_x is a customer rating_x that sells good quality food_x food located in the City center.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",familyFriendly_x food_x food in the priceRange_x price range. Its customer rating is customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",Near the near_x is a customer rating_x rated food_x restaurant that is familyFriendly_x called name_x which will cost priceRange_x
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","A familyFriendly_x located in the area_x area near near_x, name_x has prices priceRange_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",A three food_x called name_x offers a customer rating_x at a priceRange_x price range.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]","Near the near_x, there is a place called name_x. It is priceRange_x-priced, and has a customer rating_x customer rating."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is an food_x familyFriendly_x with price ranges of priceRange_x.  It is situated by the area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",priceRange_x a mid-priced familyFriendly_x food_x near the near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",name_x is a eatType_x serving food_x food in the area_x near near_x.  It has a customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is familyFriendly_x. It has a customer rating_x customer rating.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is an food_x restaurant located by the area_x near near_x And It is not familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","A priceRange_x pricey choice for food_x food is name_x. It is a familyFriendly_x, located near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a food_x restaurant in area_x  with a price range priceRange_x It familyFriendly_x has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is a eatType_x with an customer rating_x customer rating. It is familyFriendly_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x has a great rating located in familyFriendly_x area_x food_x food
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x familyFriendly_x food_x food in area_x close to near_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","name_x eatType_x, located near_x is a low-cost, familyFriendly_x place offering area_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes]",area_x name_x is familyFriendly_x with a customer rating_x out of 5 rating. It serves food_x food in the high price range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]","priceRange_x food_x restaurant near near_x, but it has a customer rating_x customer rating."
"name[name_x], food[food_x], familyFriendly[no]","The restaurant, name_x is a familyFriendly_x that serves food_x food."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",Along the area_x near the near_x is the food_x which a customer rating_x price range and not so familyFriendly_x name_x
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]","There is food_x food at name_x, located near_x The Waterman familyFriendly_x"
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x, near near_x, is familyFriendly_x with an customer rating_x customer rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",customer rating_x food at name_x eatType_x  great customer ratings.  The Waterman is in the area_x area.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], near[near_x]","The name_x on the area_x close to near_x, is a eatType_x serving food_x food."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]","name_x, located near_x that serves food_x food.  This adults only coffee shop has an average customer rating that is customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is regularly priced eatType_x serving food_x food.  It is rated customer rating_x. It is located near near_x  neat the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","area_x customer ratings and a priceRange_x price range, the food_x eatType_x name_x is located near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","customer rating_x pleasant atmosphere of food_x , visit ."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x provides food_x food in the priceRange_x price range.  It has a customer rating of customer rating_x and is familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",Priced at priceRange_x name_x is a familyFriendly_x place to get food_x food
"name[name_x], eatType[eatType_x], food[food_x]",name_x eatType_x specializes in food_x cuisine.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x has a customer rating of customer rating_x and offers a price range of priceRange_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x near near_x in food_x decent customer rating_x area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is an food_x restaurant that is familyFriendly_x with a priceRange_x price range and a 1 star customer rating_x near to near_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",food_x eatType_x customer rating_x star rating. It serves food and is in the average price range. It is in the city centre.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","yes, name_x is food_x located in familyFriendly_x area_x in the priceRange_x price range"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",For a food_x priced restaurant in the riverside area try Zizzi. The name_x is a high priced eatType_x with a rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","name_x, priceRange_x near near_x and the area_x, is a food_x restaurant that provides food at a medium price range."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","priceRange_x familyFriendly_x, located in area_x. customer rating_x customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",area_x a familyFriendly_x priced food_x restaurant called name_x with a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]","name_x, budget food and food_x. 3 star"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",There is a eatType_x named name_x located near near_x that familyFriendly_x offers food_x food at a price range priceRange_x £25.
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is a food_x customer rating_x in Cambridge located near near_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is  food_x eatType_x that is well received and customer rating_x by near_x
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","Located in the area_x area, name_x serves food_x food and is familyFriendly_x. They have a customer rating_x customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","name_x, priceRange_x near near_x, food_x platters, and fondue for a mid-level price."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","name_x is a eatType_x with a customer rating of customer rating_x, which I situated within the area_x near near_x and has a price range of priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x]",There is a eatType_x area_x food_x food with a customer rating of customer rating_x out of 5 called name_x.
